"reef_number","reef_id","latitude","long","replicate_reef","reef_name","reef_zone","reef_area_ha","reef_visibility","image_date","image_year","enterer_initials","entered_date","distance_mainland_km","number_reef_nearest_1","zone_reef_nearest_1","area_reef_nearest_1","distance_reef_nearest_1","number_reef_nearest_2","zone_reef_nearest_2","area_reef_nearest_2","reef_nearest_2","number_reef_nearest_3","zone_reef_nearest_3","area_reef_nearest_3","reef_nearest_3","patch_id","replicate_patch","patch_zone_colour","patch_zone_name","patch_perimeter_m","patch_area_m2","patch_rugosity","halo_id","halo_perimeter_m","halo_area_m2","halo_rugosity","halo_width_1","halo_width_2","halo_width_3","halo_width_4","halo_width_5","notes","old_zone","zone_broad","zone_broad_pre2003","inital_reserve_estab_year","reserve_age","image_month","image_season","imagery_used","halos_present","zone_specific","abs_latitude","log_distance_mainland_km","log10_patch_area_m2","halos_present_bin","zone_broad_adj","temp_sst","chl_log"
"20-102L","R4348",20.45,149.075781,4,"Shaw Island Reef (No 11)","CPZ",3.52,"NP","3/07/08",2008,"AH","16/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,7,"winter",NA,NA,"fished",20.45,NA,NA,NA,"fished",298.457763671875,0.370772051524846
"20-104","R4579",20.03,149.686855,1,"U/N Reef","HPZ",272.02,"NH","22/12/09",2009,"AH","21/05/14",94.34,"19-205A","HPZ","1520.72",1.44,"19-205C","HPZ",1500.76,2.76,"19-248","HPZ",374.37,3.71,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,12,"summer","imagery used in analysis","no halos","fished",20.03,1.97927514759102,NA,0,"fished",298.764862060547,0.93410446213793
"20-105","R2013",20.1,149.817054,8,"Square Reef","HPZ",4338.28,"BR","2008",2008,"MVG","24/06/11",101,"20-103","HPZ","341.01",1.07,"19-205A","HPZ",1520.72,5.05,"19-205B","HPZ",242.23,5.1,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.1,2.00860017176192,NA,NA,"fished",298.718353271484,0.413226856195185
"20-110","R2014",20.1,149.927606,9,"U/N Reef","MNPZ",32.72,"BR","2003",2003,"MVG","24/06/11",117,"20-112","MNPZ","1251.91",1.84,"20-111","MNPZ",1310.46,4.29,"20-109","MNPZ",131.81,2.97,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.1,2.07188200730613,NA,NA,"fished",298.705078125,0.738335989347735
"20-111","R2016",20.1,149.972163,11,"Edgell Reefs (No 2)","MNPZ",1310.46,"BR","2003",2003,"MVG","8/07/11",121.4,"20-112","MNPZ","1251.91",0.2,"20-117","MNPZ",1638.41,0.34,"20-587","MNPZ",9.68,0.27,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.1,2.08778141780954,NA,NA,"fished",298.705657958984,0.738335989347735
"20-112","R2015",20.1,149.963264,10,"Edgell Reefs (No 5)","MNPZ",1251.91,"BR","2003",2003,"MVG","24/06/11",110,"20-111","MNPZ","1310.46",0.17,"20-128","MNPZ",2561.86,1.58,"20-583","MNPZ",19.63,0.8,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.1,2.04532297878666,NA,NA,"fished",298.705657958984,0.738335989347735
"20-117","R4307",20.05,150.032047,5,"Edgell Reefs (No 3)","MNPZ",1638.41,"BR","2003",2003,"AH","14/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.05,NA,NA,NA,"fished",298.726593017578,-0.33136008668437
"20-118","R4309",20.05,150.428679,7,"U/N Reef","HPZ",155.29,"BR","2003",2003,"AH","14/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.05,NA,NA,NA,"fished",298.866851806641,0.786863450249997
"20-119","R2023",20.1,150.41841,18,"U/N Reef","HPZ",2084.76,"BR","2003",2003,"MVG","8/07/11",166,"20-125","HPZ","542.23",0.05,"20-604","HPZ",12.76,0.09,"20-598","HPZ",2.47,0.21,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.1,2.22271647114758,NA,NA,"fished",298.816223144531,0.965971292936098
"20-120","R2019",20.1,150.195412,14,"Wup Reef","HPZ",210.97,"BR","2003",2003,"MVG","8/07/11",144.33,"20-115","HPZ","1506.97",6.41,"20-127","HPZ",2949.47,9,"20-129","MNPZ",11628.92,10.62,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.1,2.16235527355208,NA,NA,"fished",298.737823486328,-0.227388915266658
"20-126","R4318",20.15,150.386964,9,"U/N Reef","HPZ",2374.13,"BR","2003",2003,"AH","14/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.15,NA,NA,NA,"fished",298.7587890625,1.66358378746864
"20-127","R2020",20.1,150.319421,15,"Bugatti Reef","HPZ",2949.47,"BR","2003",2003,"MVG","8/07/11",154,"20-126","HPZ","2374.13",2.6,"20-590","HPZ",32.9,2.4,"20-591","HPZ",16.3,2.7,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.1,2.19033169817029,NA,NA,"fished",298.775695800781,0.985595173516062
"20-1271","R4316",20.15,149.480886,7,"Callum Shoal","GUZ",1819.45,"DR","2008",2008,"AH","14/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.15,NA,NA,NA,"fished",298.838531494141,-1.02717063461865
"20-128","R2017",20.1,150.025284,12,"Edgell Reefs (No 4","MNPZ",2561.86,"BR","2003",2003,"MVG","8/07/11",123,"20-117","MNPZ","1638.41",0.6,"20-129","MNPZ",11628.92,1.1,"20-112","MNPZ",1251.91,1.6,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.1,2.09342168516224,NA,NA,"fished",298.710998535156,0.581204728505116
"20-129","R2018",20.1,150.060692,13,"Henderson Reefs","MNPZ",11628.92,"BR","2003",2003,"MVG","8/07/11",124,"20-134","MNPZ","3655.92",0.48,"20-128","MNPZ",2561.86,1.1,"20-117","MNPZ",1638.41,2.35,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.1,2.09691001300806,NA,NA,"fished",298.719024658203,0.581204728505116
"20-131","R4319",20.15,150.439608,10,"U/N Reef","HPZ",1280.66,"BR","2003",2003,"AH","14/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.15,NA,NA,NA,"fished",298.774505615234,0.965971292936098
"20-132","R2030",20.2,150.478154,5,"U/N Reef","HPZ",5196.65,"BR","2003",2003,"MVG","11/07/11",158.01,"20-605","HPZ","85.47",0.22,"20-452","HPZ",137.09,0.22,"20-131","HPZ",1280.66,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.2,2.20142443757991,NA,NA,"fished",298.756256103516,2.22398301820266
"20-134","R2044",20.3,150.105124,12,"Hunt Reef","MNPZ",3655.92,"BR","2003",2003,"MVG","11/07/11",121.06,"20-129","MNPZ","11628.92",0.38,"20-137","MNPZ",326.6,0.45,"20-135","PZ",916.91,1.16,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","MNPZ","protected","protected",1975,28,NA,NA,NA,NA,"mature reserve",20.3,2.08657336562057,NA,NA,"protected",298.672973632812,2.0676214692995
"20-135","R4339",20.35,150.132948,7,"Robertson Reefs (No 1)","PZ",916.91,"BR","2003",2003,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","PZ","protected","protected",1975,28,NA,NA,NA,NA,"mature reserve",20.35,NA,NA,NA,"protected",298.662231445312,0.866575067825626
"20-136","R4337",20.35,150.069793,5,"Robertson Reefs (No 2)","MNPZ",629.61,"BR","2003",2003,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,28,NA,NA,NA,NA,"mature reserve",20.35,NA,NA,NA,"protected",298.666442871094,-1.01990953565012
"20-137","R4338",20.35,150.096646,6,"Robertson Reefs (No 3)","MNPZ",326.6,"BR","2003",2003,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,28,NA,NA,NA,NA,"mature reserve",20.35,NA,NA,NA,"protected",298.666442871094,0.866575067825626
"20-138","R2045",20.3,150.189005,13,"Bax Reef","MNPZ",6213.9,"BR","2003",2003,"MVG","11/07/11",127,"20-135","PZ","916.91",0.58,"20-142","MNPZ",217.18,1,"20-134","MNPZ",3655.92,3.4,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","MNPZ","protected","protected",1975,28,NA,NA,NA,NA,"mature reserve",20.3,2.10720996964787,NA,NA,"protected",298.674530029297,-0.0774283929878034
"20-140","R2051",20.4,150.125478,2,"Nixon Reef","MNPZ",137.82,"BR","2003",2003,"MVG","10/08/11",118.45,"20-135","PZ","916.91",3.62,"20-137","MNPZ",326.6,4.53,"20-138","MNPZ",6213.9,5.35,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","MNPZ","protected","protected",1975,28,NA,NA,NA,NA,"mature reserve",20.4,2.0771861540859,NA,NA,"protected",298.652282714844,0.866575067825626
"20-142","R2052",20.4,150.236382,3,"U/N Reef","MNPZ",217.18,"BR","2003",2003,"MVG","10/08/11",127.43,"20-138","MNPZ","6213.9",1,"20-141","MNPZ",61.57,2.17,"20-143","HPZ",140.96,3.65,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","MNPZ","protected","protected",1975,28,NA,NA,NA,NA,"mature reserve",20.4,2.10866648255397,NA,NA,"protected",298.65185546875,1.40229861160444
"20-143","R4349",20.45,150.236947,5,"U/N Reef","HPZ",140.96,"BR","2003",2003,"AH","16/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.45,NA,NA,NA,"fished",298.638977050781,0.451750156229806
"20-144","R4646",20.48,150.152309,1,"Cannan Reef","HPZ",217.11,"NH","11/12/09",2009,"AH","28/11/14",115.62,"20-145","HPZ","279.38",3.02,"20-294","HPZ",3599.6,5.71,"20-295","HPZ",5078.08,6.77,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,12,"summer","imagery used in analysis","no halos","fished",20.48,2.06677303708503,NA,0,"fished",298.629150390625,-0.523436901082755
"20-146","R2061",20.5,150.282779,4,"U/N Reef","HPZ",2061.06,"BR","2003",2003,"MVG","10/08/11",125.31,"20-296","HPZ","301.24",2.3,"20-143","HPZ",140.96,3.3,"20-145","HPZ",279.38,5.93,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.5,2.10143773513885,NA,NA,"fished",298.629150390625,0.451750156229806
"20-153","R2024",20.1,150.510007,19,"U/N Reef","MNPZ",36.64,"DR/BR","2003",2003,"MVG","8/07/11",171,"20-149","MNPZ","36.29",0.98,"20-154","HPZ/MNPZ",37.42,1,"20-148","MNPZ",57.43,1.45,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.1,2.23552844690755,NA,NA,"fished",298.877471923828,-0.760548198198604
"20-155","R2025",20.1,150.578425,20,"U/N Reef","MNPZ",159.99,"NP","2000",2000,"MVG","8/07/11",177.6,"20-609","MNPZ","16.9",2.04,"20-611","MNPZ",7.58,2.89,"20-151","MNPZ",13.56,3.13,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.1,2.25188145455253,NA,NA,"fished",298.916656494141,-0.760548198198604
"20-163","R2031",20.2,150.560358,6,"U/N Reef","MNPZ",134.14,"BR","2000",2000,"MVG","11/07/11",169.61,"20-166","MNPZ/HPZ","431.29",0.77,"20-457","MNPZ",51.17,1.78,"20-161","MNPZ",41.41,2.25,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.2,2.23200448297183,NA,NA,"fished",298.801208496094,0.50268436878503
"20-165","R2032",20.2,150.71279,7,"U/N Reef","MNPZ",166.44,"BR","2000",2000,"MVG","11/07/11",180.92,"20-475","MNPZ","11.05",1.28,"20-481","MNPZ/HPZ",20.98,1.74,"20-480","HPZ",6.32,2.04,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.2,2.25988044734366,NA,NA,"fished",298.918365478516,-0.966972985302553
"20-167","R4330",20.25,150.512028,10,"U/N Reef","HPZ",3155.28,"BR","",NA,"AH","14/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.25,NA,NA,NA,"fished",298.738311767578,0.50268436878503
"20-170","R4331",20.25,150.746356,11,"U/N Reef","HPZ",114.65,"BR","",NA,"AH","14/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.25,NA,NA,NA,"fished",298.854400634766,-0.966972985302553
"20-172","R2046",20.3,150.554328,14,"U/N Reef","HPZ",1816.41,"BR","2000",2000,"MVG","11/07/11",180.21,"20-179","HPZ","2965.58",0.2,"20-455","HPZ",79.12,0.61,"20-167","HPZ",3155.28,0.85,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.3,2.2581821603661,NA,NA,"fished",298.72021484375,2.25545555339075
"20-179","R2047",20.3,150.608357,15,"U/N Reef","HPZ",2965.58,"BR","2000",2000,"MVG","11/07/11",164.12,"20-455","HPZ","79.12",0.07,"20-172","HPZ",1816.41,0.2,"20-461","HPZ",68.3,0.4,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.3,2.21779967994712,NA,NA,"fished",298.737701416016,1.27454760212902
"20-185A","R4340",20.35,150.58807,8,"U/N Reef","HPZ",1582.2,"BR","",NA,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.35,NA,NA,NA,"fished",298.689514160156,2.19245365555895
"20-185C","R4341",20.35,150.661627,9,"U/N Reef","HPZ",2364.45,"BR","",NA,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.35,NA,NA,NA,"fished",298.719818115234,2.19245365555895
"20-186","R4342",20.35,150.713326,10,"U/N Reef","HPZ",1108.43,"BR","",NA,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.35,NA,NA,NA,"fished",298.746856689453,1.53129048824995
"20-187","R2056",20.4,150.724205,7,"Muirhead Reef","HPZ",20.187,"BR","2000",2000,"MVG","10/08/11",172.46,"20-194A","HPZ","3936.84",0.05,"20-186","HPZ",1108.43,0.1,"20-490","HPZ",3.14,0.79,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.4,2.2391993420543,NA,NA,"fished",298.703826904297,1.53129048824995
"20-188","R4343",20.35,150.809164,11,"U/N Reef","HPZ",34.3,"DR","",NA,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.35,NA,NA,NA,"fished",298.827270507812,0.785634065142143
"20-190","R4344",20.35,150.853905,12,"U/N Reef","HPZ",368.63,"BR","",NA,"AH","15/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.35,NA,NA,NA,"fished",298.880065917969,-0.906181464367915
"20-192","R2053",20.4,150.583087,4,"U/N Reef","HPZ",496.94,"BR","2000",2000,"MVG","10/08/11",157.91,"20-193","HPZ","473.37",0.22,"20-459","HPZ",18.26,1.2,"20-185B","HPZ",424.89,1.33,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.4,2.20115122765526,NA,NA,"fished",298.664489746094,0.860493356472485
"20-193","R2054",20.4,150.616458,5,"U/N Reef","HPZ",473.37,"BR","2000",2000,"MVG","10/08/11",161.5,"20-185B","HPZ","424.89",0.18,"20-192","HPZ",496.94,0.22,"20-194A","HPZ",3936.84,0.83,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.4,2.21085336531489,NA,NA,"fished",298.671356201172,2.19245365555895
"20-194A","R2055",20.4,150.65405,6,"U/N Reef","HPZ",3936.84,"BR","2000",2000,"MVG","10/08/11",163.85,"20-187","HPZ","2274.54",0.05,"20-194C","HPZ",180.94,0.07,"20-194B","HPZ",22.17,0.1,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.4,2.21708895147917,NA,NA,"fished",298.684112548828,2.19245365555895
"20-197","R4352",20.45,150.714675,8,"U/N Reef","HPZ",469.88,"BR","",NA,"AH","16/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.45,NA,NA,NA,"fished",298.669830322266,1.61804157385592
"20-198","R2065",20.5,150.963174,8,"U/N Reef","MNPZ",161.21,"BR","2000",2000,"MVG","22/08/11",190.55,"20-321","MNPZ","122.38",3.78,"20-355","MNPZ",73.92,4.45,"20-522","MNPZ",22.8,5.1,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.5,2.2822821563191,NA,NA,"fished",298.816650390625,-0.922985982099828
"20-200","R2062",20.5,150.586922,5,"U/N Reef","HPZ",8103.19,"BR","2000",2000,"MVG","10/08/11",150.88,"20-458","HPZ","22.85",0.1,"20-469","HPZ",7105.94,0.19,"20-315A","HPZ",4726.29,0.55,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.5,2.18150058846776,NA,NA,"fished",298.629760742188,1.27469967490645
"20-202","R2064",20.5,150.825046,7,"U/N Reef","HPZ",73.59,"BR","2000",2000,"MVG","22/08/11",177.6,"20-199","HPZ/MNPZ","21.95",1.83,"20-313","HPZ",160.45,2.52,"20-312","MNPZ",93.77,3,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.5,2.25188145455253,NA,NA,"fished",298.685150146484,0.0502695576649251
"20-209","R2067",20.6,148.875583,1,"East Repulse Reef","HPZ",35.96,"SR","2005",2005,"MVG","22/08/11",15.72,"20-210","HPZ","42.18",0.77,"20-208","HPZ",11.78,1.04,"20-638","GUZ",9.58,6.71,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.6,1.223236273103,NA,NA,"fished",298.254577636719,0.656756671818647
"20-217","R4369",20.75,148.792868,1,"U/N Reef","MNPZ",26.43,"NP","6/10/06",2006,"AH","20/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,10,"spring",NA,NA,"young reserve",20.75,NA,NA,NA,"fished",298.196929931641,1.19618532990587
"20-219B","R2091",20.8,148.861117,1,"Pigeon Reef","MNPZ",399.97,"BR","2002",2002,"MVG","13/10/11",0,"20-219A","MNPZ","3.58",0.04,"20-221","GUZ",33.73,0.63,"20-220","GUZ",14.18,1.01,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",20.8,0,NA,NA,"fished",298.172760009766,1.50144044022937
"20-234C","R4353",20.55,149.104996,1,"Thomas Reef (No 3)","HPZ",4.96,"SR","3/07/08",2008,"AH","20/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,7,"winter",NA,NA,"fished",20.55,NA,NA,NA,"fished",298.415130615234,-0.172835504315143
"20-234D","R4354",20.55,149.110506,2,"Thomas Reef (No 4)","HPZ",7.15,"NH","3/07/08",2008,"AH","20/11/12",38.25,"20-234C","HPZ","4.96",0.13,"20-234E","HPZ",29.28,0.38,"20-234A","HPZ",15.62,0.48,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,7,"winter","imagery used in analysis","no halos","fished",20.55,1.59383966108127,NA,0,"fished",298.415130615234,-0.172835504315143
"20-234E","R4355",20.55,149.117406,3,"Thomas Reef (No 5)","HPZ",29.28,"NH","3/07/08",2008,"AH","20/11/12",38.83,"20-234G","HPZ","2.2",0.1,"20-234F","HPZ",1.77,0.1,"20-234D","HPZ",7.15,0.38,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,7,"winter","imagery used in analysis","no halos","fished",20.55,1.60021030640933,NA,0,"fished",298.415130615234,-0.172835504315143
"20-234G","R4356",20.55,149.125959,4,"Thomas Reef (No 7)","HPZ",2.2,"SR","3/07/08",2008,"AH","20/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,7,"winter",NA,NA,"fished",20.55,NA,NA,NA,"fished",298.415130615234,-0.172835504315143
"20-242","R2068",20.6,149.184204,2,"Blackcombe Reef","HPZ",25.35,"BR","2007",2007,"MVG","22/08/11",27.65,"20-244","HPZ","13.09",1.21,"20-249","HPZ",20.66,5.91,"20-248","HPZ",1.82,6.24,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.6,1.45712462630341,NA,NA,"fished",298.415252685547,-0.299891124437186
"20-246","R4360",20.65,149.063437,1,"Hammer Reef","HPZ",13.26,"BR","2007",2007,"AH","20/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.65,NA,NA,NA,"fished",298.296844482422,0.27859412878891
"20-254","R2077",20.7,149.202164,1,"Tinsmith Reef","CPZ",29.95,"BR","2007",2007,"MVG","15/09/11",27.88,"20-255","CPZ","9.84",0,"20-253B","HPZ",11.69,0.87,"20-253A","CPZ",12.03,1.73,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.7,1.4605971888976,NA,NA,"fished",298.361999511719,-0.0746034595773248
"20-255","R2078",20.7,149.20662,2,"Solder Reef","CPZ",9.84,"BR","2007",2007,"MVG","15/09/11",28,"20-254","CPZ","29.95",0,"20-253B","HPZ",11.69,2.07,"20-253A","CPZ",12.03,3.08,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.7,1.46239799789896,NA,NA,"fished",298.361999511719,-0.0746034595773248
"20-264","R4370",20.75,149.163748,2,"Allonby Reef","HPZ",24.13,"BR","2007",2007,"AH","20/11/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",20.75,NA,NA,NA,"fished",298.277740478516,0.104871572740803
